"player","team_num","position","game_id","game_date","season","session","team","opponent","is_home","game_period","shift_num","seconds_start","seconds_end","seconds_duration","shift_start","shift_end","duration","shift_mod"
"DAN.GIRARDI","NYR5","D","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,1,0,37,37,"0:00","0:37","00:37",0
"HENRIK.LUNDQVIST","NYR30","G","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,1,0,1200,1200,"0:00","20:00","20:00",0
"J.T..MILLER","NYR10","C","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,1,0,37,37,"0:00","0:37","00:37",0
"KEVIN.HAYES","NYR13","R","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,1,0,46,46,"0:00","0:46","00:46",0
"MICHAEL.GRABNER","NYR40","R","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,1,0,37,37,"0:00","0:37","00:37",0
"RYAN.MCDONAGH","NYR27","D","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,1,0,37,37,"0:00","0:37","00:37",0
"ANDREW.SHAW","MTL65","C","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,1,0,42,42,"0:00","0:42","00:42",0
"ARTTURI.LEHKONEN","MTL62","L","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,1,0,35,35,"0:00","0:35","00:35",0
"CAREY.PRICE","MTL31","G","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,1,0,1054,1054,"0:00","17:34","17:34",0
"DWIGHT.KING","MTL21","L","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,1,0,35,35,"0:00","0:35","00:35",0
"JEFF.PETRY","MTL26","D","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,1,0,42,42,"0:00","0:42","00:42",0
"JORDIE.BENN","MTL8","D","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,1,0,42,42,"0:00","0:42","00:42",0
"BRENDAN.GALLAGHER","MTL11","R","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,1,35,84,49,"0:35","1:24","00:49",0
"PAUL.BYRON","MTL41","L","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,1,35,92,57,"0:35","1:32","00:57",0
"CHRIS.KREIDER","NYR20","C","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,1,37,86,49,"0:37","1:26","00:49",0
"MARC.STAAL","NYR18","D","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,1,37,86,49,"0:37","1:26","00:49",0
"MATS.ZUCCARELLO","NYR36","C","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,1,37,98,61,"0:37","1:38","01:01",0
"NICK.HOLDEN","NYR22","D","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,1,37,86,49,"0:37","1:26","00:49",0
"ANDREI.MARKOV","MTL79","D","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,1,42,92,50,"0:42","1:32","00:50",0
"SHEA.WEBER","MTL6","D","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,1,42,92,50,"0:42","1:32","00:50",0
"TOMAS.PLEKANEC","MTL14","C","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,1,42,84,42,"0:42","1:24","00:42",0
"DEREK.STEPAN","NYR21","C","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,1,46,86,40,"0:46","1:26","00:40",0
"ALEX.RADULOV","MTL47","R","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,1,84,133,49,"1:24","2:13","00:49",0
"PHILLIP.DANAULT","MTL24","L","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,1,84,133,49,"1:24","2:13","00:49",0
"DAN.GIRARDI","NYR5","D","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,2,86,134,48,"1:26","2:14","00:48",0
"JIMMY.VESEY","NYR26","L","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,1,86,134,48,"1:26","2:14","00:48",0
"MIKA.ZIBANEJAD","NYR93","C","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,1,86,134,48,"1:26","2:14","00:48",0
"RYAN.MCDONAGH","NYR27","D","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,2,86,134,48,"1:26","2:14","00:48",0
"MAX.PACIORETTY","MTL67","L","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,1,92,133,41,"1:32","2:13","00:41",0
"NATHAN.BEAULIEU","MTL28","D","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,1,92,156,64,"1:32","2:36","01:04",0
"NIKITA.NESTEROV","MTL89","D","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,1,92,133,41,"1:32","2:13","00:41",0
"RICK.NASH","NYR61","L","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,1,98,134,36,"1:38","2:14","00:36",0
"ALEX.GALCHENYUK","MTL27","C","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,1,133,181,48,"2:13","3:01","00:48",0
"ANDREAS.MARTINSEN","MTL37","L","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,1,133,175,42,"2:13","2:55","00:42",0
"JORDIE.BENN","MTL8","D","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,2,133,175,42,"2:13","2:55","00:42",0
"STEVE.OTT","MTL92","C","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,1,133,181,48,"2:13","3:01","00:48",0
"BRADY.SKJEI","NYR76","D","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,1,134,167,33,"2:14","2:47","00:33",0
"BRENDAN.SMITH","NYR42","D","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,1,134,167,33,"2:14","2:47","00:33",0
"JESPER.FAST","NYR19","R","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,1,134,167,33,"2:14","2:47","00:33",0
"OSCAR.LINDBERG","NYR24","C","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,1,134,167,33,"2:14","2:47","00:33",0
"TANNER.GLASS","NYR15","L","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,1,134,179,45,"2:14","2:59","00:45",0
"JEFF.PETRY","MTL26","D","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,2,156,175,19,"2:36","2:55","00:19",0
"KEVIN.HAYES","NYR13","R","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,2,167,223,56,"2:47","3:43","00:56",0
"MARC.STAAL","NYR18","D","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,2,167,218,51,"2:47","3:38","00:51",0
"MICHAEL.GRABNER","NYR40","R","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,2,167,218,51,"2:47","3:38","00:51",0
"NICK.HOLDEN","NYR22","D","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,2,167,218,51,"2:47","3:38","00:51",0
"ANDREI.MARKOV","MTL79","D","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,2,175,206,31,"2:55","3:26","00:31",0
"ARTTURI.LEHKONEN","MTL62","L","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,2,175,219,44,"2:55","3:39","00:44",0
"SHEA.WEBER","MTL6","D","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,2,175,209,34,"2:55","3:29","00:34",0
"J.T..MILLER","NYR10","C","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,2,179,223,44,"2:59","3:43","00:44",0
"ANDREW.SHAW","MTL65","C","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,2,181,219,38,"3:01","3:39","00:38",0
"DWIGHT.KING","MTL21","L","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,2,181,223,42,"3:01","3:43","00:42",0
"JORDIE.BENN","MTL8","D","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,3,206,223,17,"3:26","3:43","00:17",0
"JEFF.PETRY","MTL26","D","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,3,209,223,14,"3:29","3:43","00:14",0
"DAN.GIRARDI","NYR5","D","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,3,218,255,37,"3:38","4:15","00:37",0
"MATS.ZUCCARELLO","NYR36","C","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,2,218,297,79,"3:38","4:57","01:19",0
"RYAN.MCDONAGH","NYR27","D","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,3,218,236,18,"3:38","3:56","00:18",0
"BRENDAN.GALLAGHER","MTL11","R","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,2,219,255,36,"3:39","4:15","00:36",0
"TOMAS.PLEKANEC","MTL14","C","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,2,219,255,36,"3:39","4:15","00:36",0
"CHRIS.KREIDER","NYR20","C","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,2,223,288,65,"3:43","4:48","01:05",0
"DEREK.STEPAN","NYR21","C","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,2,223,297,74,"3:43","4:57","01:14",0
"ANDREI.MARKOV","MTL79","D","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,3,223,255,32,"3:43","4:15","00:32",0
"PAUL.BYRON","MTL41","L","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,2,223,255,32,"3:43","4:15","00:32",0
"SHEA.WEBER","MTL6","D","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,3,223,281,58,"3:43","4:41","00:58",0
"MARC.STAAL","NYR18","D","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,3,236,255,19,"3:56","4:15","00:19",0
"MIKA.ZIBANEJAD","NYR93","C","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,2,255,297,42,"4:15","4:57","00:42",0
"RYAN.MCDONAGH","NYR27","D","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,4,255,297,42,"4:15","4:57","00:42",0
"JORDIE.BENN","MTL8","D","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,4,255,281,26,"4:15","4:41","00:26",0
"MAX.PACIORETTY","MTL67","L","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,2,255,281,26,"4:15","4:41","00:26",0
"PHILLIP.DANAULT","MTL24","L","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,2,255,281,26,"4:15","4:41","00:26",0
"ANDREI.MARKOV","MTL79","D","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,4,281,338,57,"4:41","5:38","00:57",0
"JEFF.PETRY","MTL26","D","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,4,281,338,57,"4:41","5:38","00:57",0
"PAUL.BYRON","MTL41","L","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,3,281,297,16,"4:41","4:57","00:16",0
"TOMAS.PLEKANEC","MTL14","C","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,3,281,297,16,"4:41","4:57","00:16",0
"RICK.NASH","NYR61","L","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,2,288,341,53,"4:48","5:41","00:53",0
"BRADY.SKJEI","NYR76","D","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,2,297,363,66,"4:57","6:03","01:06",0
"J.T..MILLER","NYR10","C","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,3,297,341,44,"4:57","5:41","00:44",0
"JIMMY.VESEY","NYR26","L","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,2,297,341,44,"4:57","5:41","00:44",0
"KEVIN.HAYES","NYR13","R","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,3,297,341,44,"4:57","5:41","00:44",0
"DWIGHT.KING","MTL21","L","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,3,297,312,15,"4:57","5:12","00:15",0
"STEVE.OTT","MTL92","C","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,2,297,312,15,"4:57","5:12","00:15",0
"PAUL.BYRON","MTL41","L","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,4,312,338,26,"5:12","5:38","00:26",0
"TOMAS.PLEKANEC","MTL14","C","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,4,312,338,26,"5:12","5:38","00:26",0
"DWIGHT.KING","MTL21","L","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,4,338,366,28,"5:38","6:06","00:28",0
"JORDIE.BENN","MTL8","D","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,5,338,389,51,"5:38","6:29","00:51",0
"SHEA.WEBER","MTL6","D","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,4,338,389,51,"5:38","6:29","00:51",0
"STEVE.OTT","MTL92","C","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,3,338,363,25,"5:38","6:03","00:25",0
"CHRIS.KREIDER","NYR20","C","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,3,341,433,92,"5:41","7:13","01:32",0
"DEREK.STEPAN","NYR21","C","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,3,341,432,91,"5:41","7:12","01:31",0
"MATS.ZUCCARELLO","NYR36","C","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,3,341,432,91,"5:41","7:12","01:31",0
"NICK.HOLDEN","NYR22","D","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,3,341,433,92,"5:41","7:13","01:32",0
"MARC.STAAL","NYR18","D","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,4,363,432,69,"6:03","7:12","01:09",0
"PHILLIP.DANAULT","MTL24","L","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,3,363,433,70,"6:03","7:13","01:10",0
"MAX.PACIORETTY","MTL67","L","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,3,366,433,67,"6:06","7:13","01:07",0
"BRENDAN.GALLAGHER","MTL11","R","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,3,375,404,29,"6:15","6:44","00:29",0
"NATHAN.BEAULIEU","MTL28","D","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,2,389,499,110,"6:29","8:19","01:50",0
"NIKITA.NESTEROV","MTL89","D","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,2,389,433,44,"6:29","7:13","00:44",0
"ALEX.RADULOV","MTL47","R","2016030111","2017-04-12","20162017","P","MTL","NYR",1,1,2,404,433,29,"6:44","7:13","00:29",0
"KEVIN.HAYES","NYR13","R","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,4,432,433,1,"7:12","7:13","00:01",0
"MICHAEL.GRABNER","NYR40","R","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,3,432,433,1,"7:12","7:13","00:01",0
"RYAN.MCDONAGH","NYR27","D","2016030111","2017-04-12","20162017","P","NYR","MTL",0,1,5,432,433,1,"7:12","7:13","00:01",0
